place,info,문의 및 안내,주소,이용시간,휴일,주차,판매 품목,접근로,출입통로,보조견 동반,review,홈페이지,이용가능시설,시설이용료,주차 요금,이용요금,체험프로그램,부대시설,화장실,체험 프로그램,입장료,체험가능 연령,수용인원,장애인 주차 안내,엘리베이터,"영유아가족
기타상세",유도안내 설비,주요시설,대여안내,점자 블록,수유실,유모차,규모,안내 요원,지정현황,지체장애 기타 상세,유아용보조의자,대중 교통,주차요금,휠체어,점자 홍보물,오디오 가이드,예약안내 홈페이지,관람석,보유장비,강습안내,입점브랜드,시각장애 기타상세,객실,코스안내,자막 비디오 가이드,수화 안내
남곡서원,"고려 보문각 대제학과 판도판서의 관직에 오른 영천이씨 영양군 6세 남곡공 휘 석지와 그의 자제인 집현전 제학과 한성부윤이셨던 장자 휘 안우, 직제학 겸 병조판서이신 차자 휘 아직, 이조 정랑이 신 삼자 휘 안유, 군기사부정 휘 현실, 휘 안실 등 6위를 배향하고 있으며, 매년 음력 3월 첫 일요일 영천이 씨 남곡공파 후손들이 참 석하여 제사를 올린다. 대강당은 남곡공과 다섯 아드님을 경모하고 학업을 연수하는 곳으로 ‘남곡서원’이라는 현판을 달았으며 서원으로 들어가는 문은 협문과 대문이 있으며 이름을 ‘歸堂門(귀당문)’이라 하였다. 경내에는 남곡공의 사적비와 비각, 제학공의 유적비와 비각, 두문동 72현의 행적을 새긴 와비와 창건기문, 남곡서원 표지석 등이 세워져 있다. 사당인 효충사는 5위의 위패를 종 향하였고 신삼문(神三門)을 지어 ‘향례문(享禮門)’이라 하였으며 평소 출입하는 ‘숭의문(숭의문)’과 협문을 세웠다.

(출처: 군위군 홈페이지)",,대구광역시 군위군 우보면 미성3길 66-7,09:00~18:00,연중무휴,"가능
요금 (무료)",,,,,,http://www.gunwi.net,효충사 / 대강당 / 송암정사,,,,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방천시장,"대구 도심을 남북으로 통과하는 신천(新川)에 놓인 12개의 다리 중 하나인 수성교 옆에 자리 잡고 있는 재래시장이다. 1945년 광복 후 일본과 만주 등지에서 돌아온 전재민(戰災民)들이 호구지책으로 장사를 시작하면서 생긴 시장으로, 신천제방을 따라 터를 잡았다 하여 방천시장이라 불리기 시작했다. 당시 수성교에서 남쪽으로 방천을 따라 약 500m에 걸쳐 형성되었으며, 상인들이 새끼줄을 이용해 ‘井’자 모양으로 시장을 구획하여 복잡한 시장을 정리하였다 한다. 주로 채소·과일·곡물 등의 식품류와 잡화를 취급한다.",,대구광역시 중구 달구벌대로446길,,,,식품류 / 잡화류,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,동반가능_시각장애인 편의시설,먹거리 볼거리 많은 시장 가보고 싶어요,https://www.jung.daegu.kr/new/culture,,,,,,,,,,,,장애인 주차장 있음(공영주차장)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용강서원,"대구 달서구 와룡산 선원공원 초입에 위치한 용강서원은 상무헌 허득량(許得良)과 낙암 허복량(許復良)을 모신 재실이다. 조선 영조(1630년경) 용강서원(龍岡書院)으로 건축하였으나, 대원군의 서원 철폐 시 훼철되었다. 1920년에 중창하여 용강사(龍岡祠)라 부르고 1986년에 복원하여 위 허득량(許得良)과 허복량(許復良) 양위를 배향하고, 9대 조인 고려문하시중(高麗門下侍中) 시춘목(諡忠穆) 허유전(許有全)을 정위(正位)에 추배 하였다. 경내에는 사우인 충렬사를 비롯하여 강당인 숭현당이 전학 후묘의 형식에 따라 배치되어 있고 재실인 용강재가 강당의 동쪽에 위치하고 있다. 경내에 충목공비원정비, 세거장비등이 있으며 뜰 안에는 큰 향나무가 두 그루 서 있고 울타리는 막돌 담장이다. 울타리 안 밖으로 여름이면 배롱나무가 장관이라 고졸한 서원의 풍경과 더없이 잘 어울린다.",,대구광역시 달서구 선원로33길 101,09:00~17:00,연중무휴,"가능
요금 (무료)",,,,,,,충렬사 / 승현당 / 용강재 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백원서원,"백원서원은 효자로 이름이 났던 전귀당(全歸堂) 서시립(徐時立)(1578~1665)을 제향 하는 서원이다. 서시립의 자는 입지(立支), 호는 전귀당이며, 달성서씨 감찰공파 파조인 서근중의 6세손이다. 서시립의 호 전귀당은 임진왜란 이후 오봉 이호민이 왕자 태실사(胎室使)로 대구지역에 들렀다가 서시립의 효행을 듣고 지어준 호이다. 온전한 몸으로 태어나 온전하게 돌아간다는 의미이다. 백원서원은 동·서재 없이 강당과 사우인 경덕사(景德祠)와 서시립의 어머니인 강씨 부인의 효행을 기록한 효행비각이 있다. 강당은 전귀당인데 정면 4칸·측면 1.5칸의 규모에 겹처마 팔작지붕의 건물이다. 정면에서 마주 보았을 때 좌측에서부터 2칸 방·2칸 대청·한 칸 방으로 구성되었으며, 전면으로 반 칸 툇간이 있다.",,대구광역시 동구 도평로51길 18 (도동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,경덕사 / 전귀당 / 효행비각,,,,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
물레책방,"물레책방은 지난 2010년 4월 23일 ‘세계 책의 날’ 문을 연, 대구 최초의 헌책방을 기반으로 한 문화공간이다. 녹색평론 편집실이 2008년 서울로 이전하기 전까지 있던 수성구 범어동의 3층 건물 지하에 위치해 있다. 기존 헌책방들의 주 수입원인 참고서와 이월잡지를 배제하고, 문사철(文史哲) 중심의 단행본들과 대구 지역에서 활동하는 작가들이 펴낸 출판물들을 위주로 운영하고 있다. 헌책과 새책을 함께 판매하고 있으며, 헌책은 정가 40~60% 정도의 가격이고, 새책은 선주문을 해야 한다. 또한, 매달 책방 내에서 정기적으로 단편영화, 다큐멘터리 상영회와 토크 콘서트, 인디밴드 공연, 감상회 등을 가지는 한편, 비정기적으로 다양한 인문학 강좌들을 함께 열고 있다.",,대구광역시 수성구 달구벌대로492길 15 (범어동) 지하 1층,12:00~20:30,매주 일요일,불가능,,,,,,https://blog.naver.com/mulaebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성습지생태학습관,"달성습지생태학습관은 달성습지의 소중한 가치를 알리고 시민 교육 체험과 함께 습지 보전과 생태관광 문화 확산을 위한 공간이다. 낙동강과 금호강 합류 지점에 형성된 총면적 200만㎡의 범람형 하천습지로 봄이면 갓꽃이 노랗게 물들고 여름에는 기생초가 가을에는 억새와 갈대가 겨울에는 철새와 흑두루미, 재두루미가 도래하고 삵과 수달도 볼 수 있어 사계절 아름답고 다채로운 풍경을 감상할 수 있다. 생태학습관은 자연 생태계의 보고인 달성습지 내 서식하는 생물종과 관련된 흥미 있고 다양한 교육 체험 콘텐츠로 구성되어 있으며 달성습지 숲길, 맹꽁이 학습장, 생태이야기실 등 많은 체험공간과 연계하여 운영한다.",,대구광역시 달성군 화원읍 구라1길 88,09:30~17:30 (입장마감 17:00),"매주 월요일 / 1월 1일 / 설날ㆍ추석 당일 / 시장이 정하는 휴관일
※ 월요일이 공휴일인 경우 그 다음 평일 휴관","가능
요금 (무료)",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,동반가능,"주차료와 입장료가 모두 무료였고요, 주차장이 넓어서 주차하기도 편했습니다.달성습지에 관한 다양한 전시물을 볼 수 있었습니다. 1층 안내데스크 뒤 쪽에 작은 휴게실에서 생물에 관련된 책도 읽었고요, 생태전시실에서 달성습지에 대한 영상도 나오도 생물들을 관찰할 수 있었습니다.옥상정원에서는 망원경을 통해 멋진 풍경과 습지를 감상할 수 있어 모처럼 아이와 재미있는 시간을 보내고 왔습니다. 가까운 곳에 살면서 맹꽁이가 산다는 것만 알았지 직접 방문 해보니 너무 좋더라구요 다음에 또 방문할려고 합니다 달성습지 둘레길을 걷고 생태학습관에서 논도 습지이고 습지가 생태에 얼마나 큰 역할을 하는가. 또한 귀하고 많은 생물들이 살고 있다는 것을 잘 배웠습니다",http://dswetland.daegu.go.kr,생태학습관 / 달성습지 / 맹꽁이 학습장 등,,,,,,장애인 화장실 있음,자연물놀이 교실 / 주말체험프로그램 / 단체습지해설 등,무료,,,장애인 주차장 있음(5대)_무장애 편의시설,엘리베이터 있음,,,,,점자블록 있음_시각장애인 편의시설,수유실 있음(1층),,,안내요원 있음(생태해설사),,,,,,,점자안내판 있음,,,장애인 전용 관람석 있음,,,,,,,,
법장사(대구),"법장사는 대구 사람들에게는 '앞산'이라고 불리는 대덕산 고산골 깊은 골짜기에 자리잡고 있는 고찰이다. 대한불교 조계종 제9교구 본사 동화사 말사이며, 창건 연대 및 중창의 역사는 전래되지 않았지만 구전 및 현존하는 유물로 보아 신라 말기에 창건된 사찰로 전해지고 있다.
전해지는 창건 설화는 신라 말의 한 왕이 대를 이을 왕자가 없던 차에 꿈에 백발노인이 나타나 “서쪽으로 수백 리 되는 곳에 산 좋고 물 맑은 곳이 있으니 그 곳에 절을 짓고 정성을 다하면 소원을 이루리라”고 하였다. 이에 왕명을 받고 신하들이 보름 만에 고산골에 이르러 그 곳에 절을 짓고 고산사라 하였고 백일기도 후 왕비는 왕자를 낳고 이듬해에도 두번 째 왕자를 낳아 이를 기뻐한 왕은 고산사에 삼층석탑을 세우도록하였다고 한다.
그러나 임진왜란 때 고산사는 불에 타게되고 삼층탑만 남게 되었다. 그 뒤의 중창에 관한 역사는 전래되지 않지만 현재 이 절에는 대웅전을 비롯하여 산신각·요사채 등의 당우들이 있다. 법장사라는 이름은 중창 때 바뀐 것으로 추정되며, 1961년 새로 지은 절이다.
전설과 관련된 삼층석탑은 탑재(塔材)를 찾아서 최근에 복원한 것이다. 근처에 왕건의 전설이 있는 절로 안일사와 은적사가 있으며 대구에 해넘이 명소인 앞산 해넘이 전망대도 차로 5분 거리에 있다.",,대구광역시 남구 고산3길 96-4 (봉덕동),상시개방,연중무휴,"가능
요금 (무료)",,,,,여기 저번에 누가 1인 시위도 하고 난리던데... 욕심 없는 스님 맞나요...?,,대웅전 / 종각 / 삼성각,,,,,,있음,,,,,,,,,,,,,,,,법장사 삼층석탑 : 대구광역시 문화재 자료 제5호,,,,,,,,,,,,,,,,,
문창공영당,"동구 향산 인근의 문창공영당은 통일신라시대 문장가이자 경주최씨 시조인 고운 최치원[857-?]의 영정이 봉안된 곳이다. 최치원은 신라말의 학자이자 문장가로 12세의 나이로 중국 당나라로 유학을 떠나 18세의 나이로 빈공과에 합격하였다. 29세에 신라로 돌아와 10여 년 동안 중앙관직과 지방관직을 거쳐 6두품의 신분으로서는 최고 관직인 아찬에까지 올랐다. 40여 세 때 관직을 버리고 은거 생활을 하다, 가야산 해인사에 들어가 머물렀는데, 언제 세상을 떠났는지는 알 수 없다. 문창공영당은 1755년(영조 31) 지금 자리가 아닌 인근 대구 동구 해안동에 처음 창건한 계림사에서 시작되었다. 이후 1864년 흥선 대원군의 서원철폐령에 의해 훼철되었다가, 1912년 지금의 자리에 문창공영당을 중수했다. 매년 음력 3월 3일 향사를 지낸다.
영당 내부에 도교의 신선풍으로 묘사된 문창공 영정이 봉안되어 있다. 문창공영당은 영정각으로는 그 규모가 클 뿐만 아니라 솟을지붕과 기둥머리 장식 또한 특색이 있어 조선 후기 목조건물의 전형과 아름다움을 잘 간직하고 있다.",,대구광역시 동구 도평로38길 51 (도동),"방문 전 문의
* 문화재 보호에서 폐문이 가능",,가능,,,,,,http://www.grandculture.net/daegu,,,,,,,없음,,,,,,,,,,,,,,,,대구광역시 문화유산자료 문창공영당 (1989.08.10 지정),,,,,,,,,,,,,,,,,
망우당공원,"임진왜란 때 전국 최초로 의병을 일으켜 왜적을 무찌른 의병장이자 경상도 방어사, 함경도 관찰사 등을 역임한 홍의장군 곽재우(郭再祐)의 공을 기리기 위해 조성하였다. 공원의 이름은 그의 호인 망우당(忘憂堂)에서 따왔다. 공원 안에는 곽재우의 동상이 서 있고, 동상 부근에 그의 유품을 보관하고 있는 망우당기념관이 있다. 하얀 성벽 위로 보이는 누각은 영남제일관인데, 조선시대에 축조한 대구읍성의 남문으로 일제강점기에 철거된 것을 1980년 이곳에 옮겨 중건한 것이다. 이 지방 독립운동의 산실이었던 조양회관도 이곳에서 들러볼 수 있다.

(출처 : 대구트립로드)",,대구광역시 동구 효목동,상시 개방,연중무휴,"가능
요금 (무료)",,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,,나무 그늘이 많아 좋아요,https://tour.daegu.go.kr,망우당 기념관 / 곽재우 장군 동상 / 영남제일관 / 조양회관 등,,,,,,장애인 전용 화장실 있음(경사로설치됨),,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운흥사(대구),"대구광역시 달성군 가창면 오리에 위치한 운흥사는 대한 불교조계종 제9교구 동화사의 말사이다. 비슬산에서 뻗어 솟구친 최정산 중턱에 자리하며, 아래로는 대구의 상수원인 가창댐을 굽어보고 주위는 울창한 숲이 드리워져 있다.
운흥사의 창건은 신라 흥덕왕 때인 832년에 운수화상에 의해 동림사로 개산하여 1620년 조선 광해군 12년 무념스님이 중수하여 수암사로 이름을 바꾸었다가 1751년 조선 영조 27년 치화대사가 지금의 위치인 최정산 정산 인근에 옮겨 중수하면서 운흥사로 부르게 되었다. 1760년 무렵에 간행한 여지도서에 운흥사가 실려 있어 당시의 상황을 짐작할 수 있다. 임진왜란 때는 사명당 송운대사가 이곳에서 승병 300여 명을 지휘하여 왜적과 싸웠다고 전해진다.
현존하는 당우로는 정면 3칸, 측면 2칸의 대웅전을 비롯하여 삼성각, 요사채 5동이 있다. 수목이 울창하고 계곡이 좋아 많은 사람들이 찾고 있다. 특히 대웅전 안에는 1653년(효종 4)에 조각승 도우(道祐)가 조성한 대구 운흥사 목조아미타여래좌상은 2014년에 보물로 지정되었고 대구광역시 전통사찰이다.",,대구광역시 달성군 가창면 헐티로 1068,상시개방,연중무휴,가능,,,,,,,대웅전 / 삼성각/ 요사채,,,,,,있음,,,,,,,,,,,,,,,,보물 [운흥사목조아미타여래좌상],,,,,,,,,,,,,,,,,
위천수변테마공원,"위천수변테마공원은 삼국유사의 고장, 살기 좋은 고장 경상북도 군위군 효령면 병수리에 위치하고 있으며, 앞으로는 시원한 위천이 흐르고 뒤로는 숲길탐방로가 조성되어 있어 최상의 트레킹을 즐길 수 있는 장소이다. 자연 친화적이고 편리성을 갖춘 테마가 있는 공원을 조성하여 점점 확산되고 있는 웰빙열풍과 여러분의 다양한 여가활동에 부응하고자 캠핑장을 갖춘 공원으로 조성되어 있다. 자연과 함께 이색적인 풍경의 사랑다리와 잔디광장, 물놀이장, 생태연못, 야외공연장, 숲길탐방로가 조화를 이룬 테마공원은 38 구역을 수용할 수 있는 캠핑장으로 구성되어 있다.",,대구광역시 군위군 효령면 간동유원지길 8,"공원 09:00~18:00
캠핑장 14:00~익일 12:00
※ 이용시간은 변동될 수 있으므로 홈페이지 참고",연중무휴,"가능
요금 (무료)",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,2024년 1월5일 군위위천수변테마공원야영장에 캠핑을 갔다. 다음날이 주말이라 캠핑을하려 오는 사람들이 많았다. 날씨가 많이 추운데도 겨울캠핑을 즐기는 사람들이 많이 있는것을보고 놀랐다. 야영장옆에 다리가 있었는데 밤에 야경이 너무 이쁘고 하늘의 별이 너무 아름다웠다. 도시를 떠나 춥지만 아름다운 밤하늘을 바라보는것만해도 행복한것같다. 애견동반 할수있는 캠핑장도 옆에 있고 공원 산책도 할 수있어서 여러번 방문하였는데 너무 좋아서 추천 하네요. 공원에 동물들도 있고 잘 꾸며져있어서 산책 하기엔 좋았어요. 이번엔 3박4일 캠핑 예정인데 부모님과 함께 올 예정이예요~ 위천수변테마공원 옆 애견동반 캠핑이 가능해서 자주 다녀왔는데 공원이 생각보다 크고 동물들도 보이고 옆에 하천이 있어 뷰도 너무 좋았어요^^,https://wcpark.gunwi.go.kr/,캠핑장 / 전망대 / 바닥분수 등,"오토캠핑장
- 평일 25,000원
- 주말 30,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,,,,"장애인 화장실 있음(대형주차장, 공원화장실)",,,,,"장애인 주차장 있음(4대, 관리사무소 주차장)_무장애 편의시설",,,,,,점자블록 있음(매점 주출입구)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,
별빛캠프 캠핑장,"달서별빛캠핑장은 지역경제 활성화, 일자리 창출 및 주민의 여가 선용을 위해 조성하였다. 구민의 여가, 레저,힐링의 장소로 삶의 여유를 즐기는 재충전을 위한 장소, 추억의 장소를 제공한다. 가족돌과 각종 동호회 회원간의 정을 나누고, 모임의 장소, 소통의 장소로 많은 사람들이 찾는 지역명소다.",,대구광역시 달서구 앞산순환로 248 달서별빛캠프 캠핑장,"- 입실: 당일 14:00 부터
- 퇴실: 다음날 낮 12:00 까지",,,,,,,"달서별빛캠핑장 안에 달서목재문화회관👍 한번 가보는거 추천해요 ! 무료로 이용가능한 나무상상놀이터와 아로마테라피 , 목재관련 체험 수업 등등... 재미난것들이 많아요",http://www.dalseocamp.kr/intro/intro.php,,,,"[카라반(4~6인 기준)] 비수기 주중 100,000원 / 비수기 주말, 성수기 140,000원
[오토캠핑장] 비수기 주중 30,000 / 비수기 주말, 성수기 35,000원
[일반캠핑장(데크,숲속)] 비수기 주중 20,000원 / 비수기 주말, 성수기 25,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마비정 벽화마을,"말(馬)의 슬픈 전설을 간직한 대구 달성군 화원읍 본리2리 마비정(馬飛亭) 마을이 최근 녹색 농촌체험마을사업을 통한 '벽화마을'로 탈바꿈해 대구는 물론 전국적인 관광명소로 부각되고 있다. 또한, SBS 인기 예능프로그램인 런닝맨 촬영장소로 알려져 있어 많은 내·외국인의 관광객들이 찾고 있다. 마을 전체가 60~70년대의 정겨운 농촌의 풍경을 토담과 벽담을 활용하여 벽화로 꾸며져 있으며, 국내 유일의 연리목+연리지 사랑나무와 국내 최고령 옻나무, 대나무 터널길, 이팝나무 터널길 등 자연과 호흡하며 벽화를 감상할 수 있다.",,대구광역시 달성군 화원읍 마비정길 259,상시 개방,연중무휴,"가능
요금 (무료)",,,,,대구가 고향이지만 벽화마을은 한번도 안가봤네요 이번 기회에 가봤는데 친구들과 사진도 찍고 산챡도하고 좋았어요 큰 마을은 아니였지만 가볍게 등산아닌 등산겸 둘러보기에 좋았습니다.,https://www.dalseong.daegu.kr/culture,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구수목원,"대구수목원은 74,000여 평의 부지에 1986년부터 1990년까지 대구 시민의 생활 쓰레기 410만 톤을 매립했던 장소를 자연 생태공간으로 탈바꿈시킨 대표적인 환경 복원 사례이다. 1997년부터 조성에 착수하여 2002년 5월 개장하였으며, 자연 생태환경을 복원하고 시민들에게 휴식과 학습의 공간을 제공하는 도시형 수목원으로 거듭났다. 대구수목원은 침엽수원, 활엽수원, 화목원, 야생초화원, 약용식물원, 염료원 등 총 21개 구역으로 구성되어 있으며, 400여 종 6만 그루의 나무와 1,100개 화단에 800여 종 13만 포기의 초화류를 식재하였다. 또한, 40종 300여 점의 분재와 200종 2,000점의 선인장, 300여 점의 수석도 함께 전시되어 있어 관람객들에게 다양한 식물 감상의 기회를 제공한다. 현재 총 1,750여 종의 식물이 전시되어 있으며, 25개의 테마 정원으로 구성된 이 수목원은 도심과 가까운 위치 덕분에 시민들이 자연을 관찰하고, 견학·학습하며, 여가를 즐길 수 있는 도시형 수목원으로 많은 사랑을 받고 있다.",,대구광역시 달서구 화암로 342 (대곡동),"- 5월~8월 08:00~19:00
- 9월~4월 09:00~18:00",매주 월요일,"가능
요금 (무료)",,출입구까지 경사로가 설치되어 있음(가파름),원활한 이동 가능함,동반 가능,"집 가까이 있어 맨발걷기하러 자주갑니다. 좋아요 도심지안에서 힐링할 수 있는 곳입닏다~~ 툭히 봄 가을이 이뻬요 우선 주차가 무료라 좋아요. 쓰레기매립지였다는게 상상 안가요. 굉장히 넓어서 걷기도 좋고 볼거리 많아요. 식물이름들 팻말이 있어 좋았고 선인장 온실은 꼭 가세요. 시원해요! 외부음식반입 되어 간단히 샌드위치, 커피 준비해가고 간식은 매점 이용했어요. 너무예쁜곳 연두연두한 나무와 초록의 숲이 조화로와요 꽃은 왜이리 이쁜지 한거롭게 거닐다 왔어요 입장료가 없네요 짱!!! 대구수목원에 다녀왔어요 다양한 식물들을 볼 수 있어서 좋았습니다. 정말 힐링되는 공간이예요 가족들도 모두 좋아해서 기분이 좋았습니다. 튜율립이 만개했네요. 황사로 짙은 안개가 드리워진 금요일 오후 어른들 휠체어도 가니기 좋아서 어머니항 자주 갑니다. 국화, 튜율립 등 계절에 맞게 피니 산책하기 좋아요. 주차장이 가까워서 어머니랑가기 좋아요. 산책하면서 힐링하기 정말 좋은 수목원이라 자주 갑니다. 조금 있으면 봄꽃이 만개할거 같아 너무 기대가 됩니다. 겨울에가도 온실 식물원이많아 즐기기좋은 대구수목원! 아이와,친구와,가족과 함께 둘러보기딱좋은데 다리가살짝 아픈게 유일한단점ㅜㅜ 대구수목원 부지가 넓어서 주차장에서부터 걸어서 수목원 끝까지 구경하려면 한참 걸려요. 식물 종류별로 다양하게 식물원이 따로 있어서 각각 색다르게 구경할수 있구요. 산책로도 잘 되어 있고 벤치도 많아서 걸으면서 쉬기도 하고 사진찍고 시간 보내기 좋아요. 가을에는 국화축제도 하는데 그때는 색색가지 다양한 국화도 보고 즐길수 있어서 좋아요.",http://www.daegu.go.kr/Forestry,수목원 / 산림문화전시관 / 목재문화체험장 등,,,,,,장애인 화장실 있음,,무료,,,장애인 주차장 있음(6대)_무장애 편의시설,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,대여 가능(5대),,안내요원 있음,,,,,,대여 가능(6대),,,,,,,,,,,,
고산골,"고산골은 대구광역시 남구 봉덕동 앞산에 위치한 곳으로 대구 지역의 오랜 역사가 전해오는 장소이다. 고산골 전망대에 서면 아름다운 자연과 어우러진 대구 남구 지역의 경관이 한눈에 들어오며, 특히 해 질 녘 은하수가 내려앉은 듯한 도심의 야경을 조망할 수 있다. 이곳은 2013년 문화체육관광부 ‘사진 찍기 녹색명소 조성사업’ 공모사업에 선정된 곳이다. 고산골 일대에는 약수터, 유아숲체험원, 메타세쿼이아숲 등 다양한 볼거리가 있다.",,대구광역시 남구 고산3길 95-1 (봉덕동),상시 개방,연중무휴,"가능 (고산골공영주차장)
요금 (30분 200원, 10분마다 100원)",,출입구까지 경사로가 설치되어 있음(산책로 휠체어 이동 용이),주출입구는 단차가 없어 휠체어 접근 가능함,,,,,,,,,,장애인 전용 화장실 있음,,무료,,,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,
들안길먹거리타운,"1980년대 후반부터 시내 중심가의 대형식당들이 도심의 교통체증 주차난 등으로 들안길로 하나 둘 모여들어 먹거리타운을 형성하였으며, 지금은 대구의 대표적인 먹거리 타운으로 발돋움하면서 수성구 명물로 자리 잡고 있다. 수준 높은 요리와 독특한 인테리어, 넓은 주차장을 갖춘 식당 150여 개가 들안길을 중심으로 대로변에 즐비하게 늘어서 있다. 한식, 양식, 일식 등 다양한 메뉴와 쾌적한 시설로 손님을 끌어들이고 있다.",,대구광역시 수성구 들안로 109-1 (상동) 일대,상시 개방,연중무휴,"가능
요금 (무료)",,,,,가족들과 외식하기 좋은 곳이 많습니다. 외식 메뉴를 정하지 못했다면 한번 쓰윽 이동하면서 보고 정하면 좋네요.,http://www.matgil.com/company/,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
환성정,"환성정은 1582년(선조 15) 이주가 27세에 금호강 변에 건립하였다. 임진왜란 때 대구지방에서 의병장으로 활약한 이주는 조선의 학자이며 성리학을 연구했다. 선조 25년 임진왜란이 일어나자 서사원과 함께 창의하여 의병을 모집, 군량을 조달하고 초유사 김성일의 소모관으로 있었으며 뒤이어 체찰사 이덕형의 추천으로 조정의 부름을 받았으나 사양하고 향리에 묻혀 학문에 전념하다 서계서원에 배향되었다. 환성정은 이주가 타계한 후 없어졌다가 1902년 이주의 9세 손인 수헌 이억상이 지금의 자리에 중수했다. 정자는 6칸이었고 동쪽에 건 편액이 경의재, 서쪽은 체인재다. 1971년에는 11세손 회연 이순희가 다시 중수했다. 조선 후기에 연재 송병선, 심석재, 송변순 형제와 면암 최익현 등 많은 우국지사들이 이곳에 방문하여 교유하고 강학을 하며, 대구지역 최고의 정자 중 하나로 자리매김 했다. 환성정은 서계서원의 경내에 있으며, 인천 이씨 서계서원 보존회에서 관리하고 환성정 현판은 대원군의 친필이다. 경내의 배롱나무는 2018년 보호수로 지정되었고 수령 270년, 높이 10m, 가슴높이 나무둘레는 115㎝이며 가지가 갈라진 쌍간 나무이다. 이 보호수 외에도 총 10그루의 배롱나무가 꽃등처럼 경내를 환하게 밝혀 탐방객들을 반갑게 맞이하고 있다.",,대구광역시 북구 호국로51길 45-17,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평광동 사과마을,"평광동에 처음 터를 잡은 사람은 우익신이라는 단양 사람이다. 그는 임진왜란을 피해 남쪽으로 내려왔는데, 평광동의 아름다운 경치와 기름진 땅에 감탄하여 터를 일구었다고 한다. 오늘날에도 평광동 사과 마을 대다수 사람이 단양 우씨라는 점이 특징적이다. 평광동사과마을은 115년 전통의 대구 사과 재배지이며, 마을에 사는 192 가구 중 140여 가구가 사과 재배를 한다. 1960~70년대 대구는 전국에서 가장 유명한 사과 산지로, 전국 수확량의 80%를 담당하기도 하였다. 점차 도시화가 진행되면서 재배 농가가 줄기 시작했고, 기후의 변화로 인해 사과 재배지가 중부지방으로 북상하게 되었다. 그럼에도 불구하고 평광동사과마을은 지금까지 대구 사과의 명맥을 이어오고 있다. 이곳에서 생산되는 사과는 평광꿀사과로 불린다. 마을에는 국내 최고 수령인 홍옥 사과나무도 있고, 효자 강순항나무로 불리는 왕버들나무(수령 약 200년)가 보호수로 지정되어 있다. 평광동사과마을은 강순항 정려각을 비롯해 첨백당과 광복소나무, 모영재 등 다양한 볼거리와 함께 봄이면 사과꽃 향기로 아득하고 가을이면 사과 따기 체험행사도 열려 주말 산책과 가족 나들이 장소로 추천되고 있다.",,대구광역시 동구 도평로116길 37 (평광동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,,https://www.facebook.com/appleindaegu/,,,,,,,있음,사과 수확 체험,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
