place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,입장료,review,체험가능 연령,화장실,체험 프로그램,이용 시기,주차 요금,이용요금,주요시설,접근로,장애인 주차 안내,휠체어,수용인원,규모,출입통로,엘리베이터,수유실,판매 품목,시설이용료,체험프로그램,유모차,점자 홍보물,"영유아가족
기타상세",이용가능시설,주차요금,대중 교통,시각장애 기타상세,오디오 가이드,지체장애 기타 상세,유아용보조의자,개장기간,관람석,부대시설,보유장비,보조견 동반,대여안내,점자 블록,안내 요원
관음사(대구),"대한 불교조계종 제9교구 본사 동화사의 말사인 관음사는 우리나라 천연기념물 1호인 대구 도동 측백나무 숲 절벽 아래 난간과 계단을 세우고 자리하고 있다. ‘팔공산도동낙가산관음사사적비명’에 의하면, 관음사는 통일신라시대 문무왕 10년(670)에 의상대사가 창건하고, 9세기 초에 심지왕사가 중창하였다고 한다. 이후 관음사는 1933년에 해인대사가 중수하였고 교남지에 '해안면 도동에 관음암이 있다.'라고 함을 보아, 해인대사가 퇴락한 관음암을 중수하였다는 것은 사실로 추정된다. 1970년에 관음전을 신축하였고 1999년에야 지금의 모습을 갖추었다. 해탈문을 지나면 1층은 정면 7칸, 측면 5칸, 2층은 정면 5칸, 측면 3칸의 다포식 팔작지붕 구조의 무설전이 있다. 무설전 맞은편 2개의 석등 사이로 난 돌계단을 오르면 아주 작은 2층의 누각이 있어 1층에는 낙가산관음암이, 2층에는 관향루라는 현판이 걸려있다. 관음전은 정면 2칸, 측면 1칸의 주심포식 팔작지붕 구조로 석조관세음보살입상을 주불로 봉안하고 오른쪽 미륵보살 왼쪽에 지장보살을 모셨다. 특히 주불인 석조관음보살은 외형이 매우 투박하여 옷의 주름 표현이 세련되거나 화려한 관을 쓰고 있지도 않다. 미륵전은 관향루 왼쪽 계단을 올라가면 자연석 바위를 머리에 인 상태로 조그마한 전각에 미륵불이 봉안되어 있다. 누각 아래 길을 오르면 향산이라는 편액이 있는 요사가 있고 관향루와 요사 뒤쪽 산 중턱에 오층석탑이 있다. 관음사는 사찰의 규모가 크지 않고 모셔진 불상이 화려하지도 않은 소박한 사찰이다. 또한 오랜 세월 관음사와 함께 한수백 년 된 대구 도동 측백수림은 대구 10경 중의 하나로 절경을 자랑하고 있다.",,,대구광역시 동구 둔산로 535 (도동),"상시 개방
※ 일몰 후 관람 자제 요망",연중무휴,"가능
요금 (무료)",,무료,소박한 사찰과 주변 경관이 잘 어울러지는 절이에요. 걷기 좋은 곳이라 가족들과 운동 삼아 한번씩 가는데 아이들도 잘 다녀올 정도로 길이 잘 되어 있어요.,,있음,,,,,,,,,,,,,,,,,,,,무설전 / 관음전 / 미륵전 등,,,,,,,,,,,,,,
관암사(대구),"관암사는 대구광역시 동구 능성동 팔공산에 위치한 한국불교태고종 소속 사찰이다. 사찰 명칭은 팔공산 관봉(冠峰)의 석조여래좌상이 있는 갓바위 아래에 자리하여 관암(冠巖)이라 하였다고 한다. 신라시대 창건한 고찰이나, 조선시대의 억불정책으로 폐사가 되어 누가 언제 창건한 것인지 정확히 알 수 없다. 현재 관암사는 태고종 총무원장을 지낸 백암승려가 기도 중 불상을 발견하고 터만 남은 곳에 중생들의 안식처가 되도록 서원(誓願)을 세우고 1962년 3월에 재창건하였다. 그 후 건물이 노후화되어 2대 주지인 혜공화상이 2004년부터 10년 계획으로 중창불사를 시작하여 2006년 대웅전, 2008년 관음전, 칠성각을 완공하였다. 이어 2009년에 모든 전각의 단청불사를 완공하고, 2010년에 지장보살, 관음보살, 후불탱화 등 부처님을 조성함으로써 가람의 형태를 일신하여 전통사찰의 면모를 갖추었다.",,,대구광역시 동구 갓바위로 350 (능성동),상시 개방,연중무휴,가능,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회진당원의대사지비,"팔공산 파계사 옛 진입로에 위치하고 있으며 건립 연도는 1648년(인조 26년) 3월, 회진당 원의대사를 기리기 위해 세워졌다. 비신은 원규형으로 높이 63cm, 폭은 29cm, 두께 10cm의 화강석이다. 비부는 높이 지상 16cm, 가로 59cm, 세로 49cm 타원형의 화강석으로 구성되어 있다. 글씨를 알아볼 수 없을 정도로 심하게 마모되고 비신에 큰 균열이 나 있다.
주변으로 파계사, 성전암 등이 있다.",,,대구광역시 동구 파계로 741,,,없음,,,,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔공산국립공원(군위군),"한반도의 척추인 태백산맥이 남으로 힘차게 뻗어 낙동강과 금호강이 만나는 곳에 우뚝 높이 솟아 병풍처럼 둘러쳐진 팔공산(1192.3m)은 예로부터 우리나라의 명산으로 꼽혀 왔으며, 옛사람들은 이 산세가 삼존불, 즉 세 부처님의 형상이라 하여 신령스러운 영산으로 믿어왔다.
팔공산의 상층부는 화강암이 기묘한 모습으로 노출되어 높고 웅장한 산세를 이루고 있으며 골짜기마다 절묘한 암벽과 어우러진 울창한 숲은 명산의 위세를 더해 주고 있다. 팔공산은 1980년 5월 도립공원으로 지정되어 경상북도에 속해 있었으나, 대구가 승격되면서 지금은 대구광역시 동구, 군위군 부계면, 산성면, 효령면 일부와 영천시, 칠곡군, 경산시, 구미시 선산군에 걸쳐있으며, 2023년 12월 31일 국립공원 제23호로 지정되었다.
삼존불을 모신 삼존석굴과 보각국사 일연선사가 <삼국유사>를 저술한 장소인 인각사가 팔공산 국립공원 중 군위군에 속해 있는 역사적 유물이다.
군위에서 팔공산을 오르는 최단 코스는 팔공산 하늘정원에서 출발하는 원효구도의 길이다. 팔공산 하늘정원~비로봉 정상~원효굴~하늘정원 주차장으로 원점 회귀하는 코스로 3.5km이며 왕복 약 1시간 30분 소요된다. 바위로 둘러싸인 험한 산이지만 데크길이 잘 조성되어 있고 곳곳에 휴게시설이 있으며 정상에서 내려다보는 풍광이 아름답다.",,https://www.knps.or.kr/,대구광역시 군위군 부계면 동산리 산 73-4,,기상여건에 따라 출입통제 가능,가능 (무료),,,,,있음 (주차장),탐방프로그램,,,,,,,,,,,,,,,,,,,"등산로, 전망대, 야영장 등",,,,,,,,,,,,,,
스파크랜드,"스파크랜드는 상상을 현실로 옮긴 대구 동성로의 랜드마크이다. 지하부터 지상으로 이루어진 건물에 1~4층은 패션브랜드와 식당, 카페 등이 입점해 있으며, 5~6층은 실내형 스포츠 시설을 즐길 수 있는 스파크필드, 7~9층은 다양한 어트랙션(놀이기구)을 체험할 수 있는 스파크랜드로 구성되어 있다. 특히 대관람차는 발아래로 발아래로 경치를 즐길 수 있도록 관람차 바닥을 강화유리로 제작하여 색다른 경험을 하게 하며, 대구 도시 전경을 감상할 수 있다. 또 이곳에서 감상하는 일몰과 야경은 스파크랜드를 대구의 새로운 랜드마크로 부상하게 해 주었다. 스카이라운지와 스파크 스카이는 밤에 야간 조명을 밝혀 아름다운 분위기가 연출된다. 스파크랜드는 층층이 포토존이나 예쁜 조형물과 볼거리, 다양한 콘텐츠 등을 잘 조성하여 관광명소로 자리매김하고 있다.",,https://d-spark.kr/,대구광역시 중구 동성로6길 61 (공평동),"[스파크랜드]
- 월~목요일 12:00~22:00
- 금요일 12:00~23:00
- 토요일 11:30~23:00
- 일요일 11:30~22:00
[스파크필드]
- 평일 12:00~22:00
- 주말 및 공휴일 11:30~22:00
[펀앤챌린지]
- 평일 13:00~21:00
- 주말 및 공휴일 11:30~22:00
※ 자세한 사항은 홈페이지 참조",연중무휴,가능,,,"밤에 보면 예뻐요. 엄청 특별한건 없지만, 시간 보내기는 좋은거 같아요! 가족, 친구, 연인 누구랑 가도 괜찮은 곳 같아요. 관람차 꼭타세요 밤에 방문해서 멋진 야경도 감상하고 관람차안에 설치된 노래방시설로 노래도 부르고 정말 재밌었어요 계절에 상관없이 방문 할 수 있는 곳, 하루종일 열정을 다하기 위해 방학때마다 방문하는 곳입니다. 실내/외, 펀앤챌린지 코너도 생겨서 더 다양하게 즐길 수 있는 어린이들에게 천국의 놀이터입니다. 이용권 팔찌를 착용하고 있다면 외부 음식점에서 식사하고, 둘러보고 다시 와서 이용도 가능해서 하루 종일 즐길 수 있는 매력 만점의 공간입니다. 일부러 놀이공원을 찾아가지 않아도 될만큼 재미있고 스릴있는 체험과 놀이기구가 많아요. 시내에 있어서 맛집도 많고 즐길거리도 한가득이에요. 층별로 음식점,구경거리도 많아요. 타지분들 아직 안가보셨으면 꼭 추천드립니다. 관람차 높은곳까지 올라가면 대구 전경을 한번에 볼 수 있어서 좋고 밤에는 조명들도 켜져서 예뻐요:) 대구 시내 중심가 동성로에서 즐길수 있는 스릴있는 관람차! 특히 밤에 더 멋지고 좋아요. 사진 찍기도 좋고 주위에 맛집도 많아서 한번쯤은 가볼만한 곳으로 추천합니다. 가족과 함께하기 좋은 곳이예요 관람차 안 노래기기가 있어 너무 색다른 즐거움을 주는 곳입니다 밤이되면 반짝반짝 화려하게 빛나서 사진찍기 좋습니다 ㅎㅎ 이월드처럼 놀이공원 같아요 대구 중심가여서 여러 즐길거리, 먹거리 등 아주 많아서 하루종일 시간을 보낼 수도 있어요. 스파크랜드에 오신다면 남녀노소 각자에 맞는 놀이기구들이 많아서 여러 체험을 해볼 수 있고, 여러 놀이기구들 뿐만아니라 꼭 관람차를 타셔서 대구전경을 한번 보시길 추천드려요. 밤에는 알록달록 조명들로 꾸며진 스파크랜드를 즐기실 수 있습니다. 도심에서즐기는 놀이기구 애들이랑 가면좋은추억 남기구 대구전경을 볼수있어서 추천드립니다^^",,"장애인 화장실 있음(위치: 지상1층,지상3층,지상7층)",,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),엘리베이터 있음 점자표기 되어있는 승강기 있음,,,"- 스파크랜드 30,000원
- 올데이패스 60,000원
※ 자세한 사항은 홈페이지 참조",,,,,스파크랜드 / 스파크필드 / 펀앤챌린지 등,,,,,의무실 있음,,,,,,,,,
팔공산국립공원(파계사지구),"팔공산은 공산, 부악, 중악, 천왕봉이라고도 부른다. 팔공산이 하나의 맥을 이루므로 이 자체를 팔공산맥이라고 부르기도 한다. 대구분지의 북쪽을 동서 방향으로 가로지르고 있으며, 남동쪽의 초례봉(635.7m)에서 시작하여 환성산(672.1m), 노적봉(886.9m)을 지나 팔공산, 북서부 쪽의 가산을 연결하면서 팔공산맥을 이룬다. 팔공산의 최고봉인 비로봉과 동봉(1,168m), 서봉(1,150m)은 양 날개를 펴고 있는 듯한 형상을 보여 주고 있다. 팔공산의 서쪽 자락에 파계봉, 파계재가 있고 파계재의 남쪽 방면에 파계사를 중심으로 형성된 곳을 팔공산자연공원 파계사지구라 하여 특히 울창한 숲과 맑은 계곡이 선경을 이루고 있다. 팔공산의 자연을 그대로 즐기기에 더욱 알맞은 장소이며 주변에는 파계사를 비롯하여 수태골 등 계곡과 오토캠핑장인 파계야영장이 있다. 파계사는 신라애장왕 때 심지왕사가 창건하였다고 전해지는 사찰로 파계란 호칭은 절 주변으로 흐르는 9개의 물줄기를 모은다는 뜻에서 유래하였다고 하며 영조임금의 도포를 비롯한 원통전등 문화재를 여러 점 보존하고 있다. 영조 때 왕실의 원찰이기도 하여 영조와의 설화를 뒷 받침하는 문화재가 발견된 바 있는 곳이기도 하다. 팔공산자연공원 내 파계사지구에서는 팔공산의 진매력을 더욱 가까이 느낄 수 있다.",,https://www.knps.or.kr/,대구광역시 동구 파계로 741 (중대동),상시 개방,연중무휴,"가능
요금 (무료)",,무료,고등학생때 기숙사에서 다 같이 등산 간 기억이 있네요. 추억삼아 갓바위 등산 다녀왔습니다 날도 좋고 경치도 좋네요 예전에 부처님 오신날에 가보면 엄청 정체되는곳중 하나에요 드라이브 코스로 많이 찾는곳인데 산책도 좋고 음식점도 좋고 좋아요 대구 부모님댁에 머물면서 어디 드라이브 갈곳없나 하고 찾다가 여길 찾아서 가보았는데 여름인데도 너무 시원하기도 하고 음식점도 많아 좋았습니다! 바로옆에 캠핑장도 있는것같아 다음에는 캠핑을 해볼 예정이예요~,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구스타디움,"대구스타디움은 1997년 착공하여, 2001년에 완공된 세계적 규모의 첨단 스포츠 시설로, 2002년 한일월드컵을 비롯한 다양한 국제 및 국내 대회 개최를 위해 건립되었다. 부지 면적은 51만 2,479㎡이며, 지하 3층, 지상 3층의 규모를 자랑한다. 대구 도심에서 남동쪽으로 약 9km 떨어진 곳에 위치해 있으며, 주 경기장, 보조경기장, 암벽등반장, 론볼장, 씨름장 등으로 구성되어 있다. 또한 경기장 내에는 가상 스포츠 체험관도 마련되어 있다. 경기장 지붕은 지구의 이미지를 형상화하여 전 세계인을 한 지붕 아래 포용한다는 의미를 담고 있으며, 한국 전통 민가 지붕의 곡선미를 반영하였다. 관중석은 총 7만 석 규모로, 준결승전 이상의 국제 경기를 개최할 수 있는 수준이다. 이 중 74%의 좌석 위에는 자연 채광이 가능한 테플론 코팅막 지붕이 설치되어 있다. 시민들을 위한 사회 체육시설과 휴식 공간도 함께 조성되어 있으며, 시민광장, 야외 음악당, 분수대 등 다양한 시설이 경기장 주변에 자리하고 있다. 주 경기장은 축구와 육상 경기는 물론, 필드 내에서 각종 던지기 및 뛰기 경기가 가능한 다목적 경기장이다.",,https://www.daegu.go.kr/index.do,대구광역시 수성구 유니버시아드로 180 (대흥동),,,,,,"대구 스타디움 광장에서 아이들과 놀기 정말 좋아요. 부대시설과 편의시설도 잘 되어 있어 가족들과 함께 하기 굿입니다. 스타디움 서편광장에서 피크닉하고 왔어요. 아이들이 신나게 뛰어놀기도 좋았고 근처 매점이 있어 출출함을 채우기도 편했어요. 마침 야외공연장에서 가수들의 공연도 열려서 덕분에 귀호강도 했습니다. 대구 스타디움 바로옆은 음식점 편의점 스포츠시설같은 편의시설이 많이 있습니다! 대구 관광재단에서 피크닉세트를 빌려 예쁜 피크닉을 즐겼는데요, 오랜만에 여유와 힐링을 만끽할 수 있어서 좋았습니다 :)",,,,,,,주 경기장 / 보조경기장 / 휴게음식점 / 야외무대 등,경사가 완만하고 평탄하여 휠체어 이용 가능 함(우레탄길),장애인 전용 주차구역 있음(15대)_무장애 편의시설,,,,매표소 입구는 무단차이며 경기장 입구는 경사로가 설치되어 있음,,,,,,,,,,,,,,,,,,,,,,,
근대문화체험관 계산예가,"대구 중구에 위치한 근대문화체험관 계산예가는 도심골목투어의 핵심거점인 이상화, 서상돈 고택 방문객을 위한 편의시설과 다양한 정보를 제공하기 위해 2012년 개관하였으며, 계산동을 포함한 도심일원에 대해 안내하는 영상관, 대형 입체페널에서 텍스트와 영상을 통해 대구 근대역사에 대한 정보를 제공하는 전시실, 근대기 이 지역의 활발했던 문화예술활동에 대한 정보를 전시물과 E-BOOK 등으로 접할 수 있는 한옥전시관으로 구성되어 있다.",,http://www.jung.daegu.kr,대구광역시 중구 서성로 6-1 (계산동2가),"[하절기] 09:00~18:00
[동절기] 09:00~17:30",연중무휴,불가능,,,,,장애인 전용 화장실 있음,,,,무료,,계산예가 입구는 턱이 없으나 한옥건물은 턱이 있어 휠체어 리프트를 이용하여야 함,,대여 가능,,,,,,,,,대여 가능,촉지 안내도 있음,,,,,,,,,,,,,,,,
대구향교,"향교는 지방에 설립한 국립교육기관으로서，성현의 위패를 모시고 제사를 지내는 기능과 학생을 교육하는 강학 기능을 동시에 담당하였다. 1400년에 불타자 곧 재건하였고 임진왜란 때 다시 소실되어 1599년(선조 32) 현재의 달성공원 부근에 재건하였다. 1605년 교동으로 이건하여 명륜당을 중건하였으며, 1932년 현 위치로 이건 하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·문묘·삼문 등이 있으며, 향교 내에는 대구성(大邱城)의 축성 및 유래를 기록한 축성비(築城碑)와 수성비(修城碑), 경상도관찰사·판관·군수 등을 지냈던 사람들의 불망비(不忘碑)·송덕비 등이 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 정원 30인의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행하며 초하루·보름에 분향을 하고 있다.",,http://www.daeguhyanggyo.org,대구광역시 중구 명륜로 112 (남산동),상시 개방,연중무휴,"가능
요금 (무료)",,,"역사적 상징성을 가지고 있는 향교는 거주지에서 멀지 않은 곳에 위치해 있어서 간혹 들려 고즈넉한 시간과 조우하며 사색을 즐기는 곳입니자. 또한, 과하지 않은 단아하고 고풍스런 건축물들과 주변 풍경은 마치 시간이 멈춘듯한 비현실적 경험도 할수 있지요. 아이들과 함께 오면 역사교육은 물론 정서 함양에도 큰 도움이 될 곳이기도 합니다.",,"장애인 전용 화장실 있음(유림회관,대구향교 내 명륜당 뒷편)",,,,,,,"장애인 전용 주차구역 있음(대구향교 우측 2곳,장애인표지판)_무장애 편의시설",,,,"주출입구는 계단이 많아 정문 좌측 유림회관을 통해 내부진입(유림회관 경사로,엘리베이터 있음)",,,,,,,,,대성전 / 동무서무 / 내삼문 등,,,,,,,,,,,,,,
이상화 고택,"대구 중구에 위치한 이상화 고택은 일제에 항거한 대구 출신의 독립운동가 이상화 시인이 거주하던 고택이다. 이 집에서 춘향전 등을 영어로 번역하는 작업을 주로 하였으며 독서와 연구에 몰두하였다. 그의 업적을 기리고자 1999년부터 고택을 보존하자는 시민운동을 시작으로 군인공제회에서 인근 주상복합아파트를 건립하면서 고택을 매입해 고택을 보수하고, 고택보존시민운동본부에서 모금한 재원으로 고택 내 전시물을 설치 했다. 이상화 고택은 항일 민족시인 이상화의 정신을 기리고, 후손에게 이상화의 드높은 우국 정신과 문학적 업적을 계승하는 교육의 장으로 활용되고 있다.",,https://www.jung.daegu.kr/,대구광역시 중구 서성로 6-1 (계산동2가),"[하절기] 09:00~18:00
[동절기] 09:00~17:30",연중무휴,불가능,,무료,"이상화고택은 대구 반월당역 근처라 접근성이 좋고 근처 쇼핑과 함께 들러서 구경하기 좋다 야간에 근대로의 여행 골목투어중 이상화 고택을 보면서 시내중심지에 잏는 대구지역 문화유산 볼수 있었뎐것 같다 아이와 함께 근대골목 투어로 방문 한 곳이에요. 고택과 주변이 잘 관리되어 있고 아이도 흥미를 가져서 방문하길 잘 했다 생각했어요. 서러운 해조가 탄생한 곳 대구 근대골목 투어 중 필수코스에요~~ 고택이 잘 보존되어있고, 느린우체통 체험도 하실수가 있어요^^ 다녀왔는데 만족합니다~! 근대골목밤마실투어를 통해 방문했어요.. 12월까지 금.토 체험행사등 다양한 행사 진행되니 아이들과 꼭 가보세요.. 가족들과 함께 대구 투어를 한적 있는데 지금도 한번씩 생각나는 곳입니다~ 청라언덕, 약령시장, 김광석거리, 지금 여기 소개된 시인 이상화님의 고택등 볼거리, 먹거리가 풍부하고 너무 좋았던 기억으로 남아있어요~ 기회가 됨 한번 더 가보고 싶네요~^^♡",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 근대골목(근대로의 여행),"근대문화골목은 2012년 한국 관광의 별로 선정되었으며, 한국관광 100선에 3년 연속 이름을 올리는 등, 골목투어를 전국적인 관광 콘텐츠로 이끈 가장 인기 있는 명소 중 하나이다. 이 골목은 주요 지점마다 사진 찍기 좋은 포인트가 많아, 인터넷 블로그와 SNS를 통해 여행 후기가 활발하게 공유되고 있다. 관광 불모지였던 대구에 관광의 개념을 심어준 대표적인 관광명소로 평가받는다. 근대문화골목에 오면 대구의 과거, 현재, 미래가 공존하는 모습을 마주할 수 있으며, 세대 간의 대화와 이해, 소통과 공감이 이루어지는 특별한 여행을 경험할 수 있다.",,https://www.jung.daegu.kr,대구광역시 중구 국채보상로102길 66,상시 개방,연중무휴,불가능,,무료,"청라언덕부터 시작하면 시내쪽으로 이동하게돼서 동선이 편해요. 선교사주택들 계속 휴관중이라 외관만 볼 수 있어서 아쉬웠고 3.1만세운동길에 태극기들 나부끼는거 보고 있으면 뭉클해집니다. 계산성당-이상화, 서상돈고택-제일교회~ 다 가깝게 위치해있어서 쭉 둘러보기 편하고 골목골목 벽화들도 여럿 있어요. 산책삼아 걸으면서 둘러보기 좋아요. 투어 신청하면 해설사분 설명 들으며 꼼꼼히 둘러볼 수 있어요. 시내 근처라 투어하고 시내에서 밥 먹고, 차 마시기도 좋았어요. 대구여행시 근대골목에 숙소를 두고 안내책자 보고 찾아다니면 한약박물관, 고택, 시장 등 근대역사를 찾아보는 재미가 있어요 근대골목에 볼게 너무많아서 하루에 다 못가 봤던거 같아요 여러 시인이나 독립운동가 고택도 있고 박물관도 가까이 있어서 볼거리가 많았어요 대구여행에서 꼭 가보아야할 의미깊은 곳입니다. 역사적인 의미가 있어서 문화해설사분과 하는 투어를 신청하면 각종 종교유적지와, 한약을 소개하는 박물관, 거리도 걸어보고 체험도 하는 뜻깊은 여행이 될수 있습니다 대구 구경하러갔다가 골목골목에 대구근대거리라며 벽화와 안내문등을 보고 호기심에 이곳저곳 둘러보았는데 대구도심옆에 이렇게 근대건물들이 많이 있다는게 신기하기도 하고 알지못했던 옛 역사까지 알아가는 재미가 있었습니다 대구 번화가에 있어서 가깝기도하고 근대건물들이 골목골목에 옛 역사적인 건물들이 많아서 골목찾아가는 재미가 있어서 가볍게 구경하기 좋습니다 근대골목에 우리나라 근현대사에서 볼 수 있는 유적지들 뿐만 아니라 근대골목단팥빵이라고 빵이 맛있는 곳도 있어요! 대전사람이 재미나게 보고가요",,장애인 전용 화장실 있음_무장애 편의시설,,,,,,"출입구까지 턱이 없어 휠체어 접근 가능함(동산병원, 3·1만세운동길을 제외)",장애인 주차장 있음(주변 유료주차장)_무장애 편의시설,대여 가능,,,,,,,,,대여 가능,점자 안내판 있음,,,,,점자 가이드북 있음,음성 안내기 있음,,,,,,,,,,
팔공산국립공원 도학야영장,"팔공산국립공원 도학야영장은 도심에서 멀지 않은 팔공산국립공원 내에 위치한 자동차야영장으로, 자연 속에서 조용히 머무르며 쉬어갈 수 있다. 자동차 진입이 가능한 데크형 야영지 28면이 조성되어 있으며, 샤워장, 식기세척장, 세면세족장, 전기(유료) 등 기본 편의시설이 갖춰져 있어 누구나 편안하게 캠핑을 즐길 수 있다. 샤워장은 하루 세 차례 운영되며 무료로 이용할 수 있고, 일부 야영지에는 테이블이 비치되어 있다. 이곳은 계절마다 다른 풍경을 선사하는데, 봄에는 벚꽃이 만개하고, 가을에는 단풍이 아름답다. 인근에는 동화사, 파계사, 부인사, 북지장사 등 대표적인 전통 사찰이 있어 캠핑과 함께 국가유산을 둘러보는 여유도 누릴 수 있다. 등산을 즐기는 탐방객이라면 비로봉, 동봉, 염불봉 등 팔공산의 주요 봉우리를 탐방할 수 있어다. 조용한 자연 속에서 머무르며 탐방과 휴식을 즐기고 싶은 분들에게 적합한 야영지다.",,https://res.knps.or.kr/,대구광역시 동구 팔공산로237길 47 (도학동),14:00~익일 12:00,"매주 수요일 (※ 성수기 7월~8월, 10월~11월 15일은 제외)",,,,,,,,,,"- 평일 15,000원
- 주말·성수기 19,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",야영지 / 샤워장 / 식기세척장 등,,,,,,,,,,,,,,,,,,,,,,"봄, 여름, 가을",,,,,,,
비슬산자연휴양림,"비슬산 자연 휴양림은 자연경관이 수려하고 기암괴석이 풍부한 비슬산 내에 자리 잡은 휴양 명소이다. 산림청이 발표한 전국 100대 명산 가운데 하나이고, 해발 1,058m의 조화봉을 중심으로 1,084m의 천왕봉, 989m의 관기봉을 좌우에 거느린 비슬산의 휴양림으로 산 중간 능선까지는 주로 침엽수립이 울창하게 숲을 이루고 있으며, 상부 능선까지는 기암괴석과 단풍이 절경을 이룬다. 봄철의 참꽃과 여름철 안개와 계곡 야영, 가을에는 단풍과 억새, 겨울 얼음동산도 장관이다. 이로써 비슬산 자연 휴양림은 사계절 내내 자연의 선물과 함께 휴식을 취할 수 있는 곳이다. 휴양림에는 숲 속의 집과 더불어 오토캠핑장, 야영장, 야외공연장, 연못, 청소년 수련장, 체력단련장, 잔디광장, 사진촬영 명소, 물놀이장, 산림치유센터 등 체험시설과 즐길 거리가 있으며 자연석들이 널려 있는 산책로인 탐석로가 있다. 비슬산 대견봉 아래 신라시대 사찰 유가사, 도성암과 휴양림 입구에 고찰 소재사, 화원유원지, 대견사 삼층석탑 등의 유적지가 있다.",,https://www.foresttrip.go.kr/,대구광역시 달성군 유가읍 일연선사길 99 (관리사무소),"-일일개장 09:00~22:00
- 숙박시설 15:00~익일 12:00",매주 화요일,"가능
요금 (무료)",,,"몸 마음에 휴식을 주고플때 다녀오네요 숲속향도 바람도 너무 좋습니다 비슬산자연휴양림 너무 좋습니다. 올해도 신청해서 가족들과 함께 하기로 했습니다. 참꽃축제기간에는 경쟁률이 치열하네요. 겨울에는 비슬산 자락을 타고, 얼음 동산이 펼쳐져 있습니다. 물론, 인공적으로 만든 것이지만 대자연의 아름다움을 느끼기에는 충분합니다. 화합방에서 1박을 하였는데 너무 좋았고 즐거운 시간을 보내고 왔습니다. 온 가족이 한방에서 게임도하고 삼겹살 구워막고 함께 자니 MT온것 같이 알차게 지내다 왔습니다. 겨울에도 여름에도 언제든 방문해도 좋은 비슬산 휴양림 입니다^^ 슬슬 날도 더워지는데 공기도 시원하고 휴식하기 좋았어요. 비슬산 자연 휴양림은 해발 1058m 기암괴석과 울창한 숲들로 둘러싸인 비슬산 자락에 위치해있어 상쾌한 공기와 봄꽃들로 가득한 너무도 아름다운 자연휴양림 야영테크 캠핑었어요 대구에서 가까운 곳에 위치해있으니 자주 올라와 몸과 마음을 힐링하고싶네요 비슬산 자연 휴양림 자연공기가 너무 맑고 울창한 풀들 너무 힐링이였어요 여름에 다녀왔는데도 숲속이 엄청 시원하고 좋았어요. 시간되실때 다녀와보시는 것 추천드립니다 크진 않지만 얼음벽이 예쁘게 생성됭니있어 휴양림산책로도 걷고 사진찍기도 좋았습니다 대구에서 가까워 사람들이 많이가는 곳 접근성도 좋고 경치도 좋아 괜챤은데 사람들이 많아서.. 조용한 휴양림을 원한다면 비추..",,장애인 화장실 있음,치유의 숲 / 비슬산투어관광 버스 / 목공예 체험 등,,,,,,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,"20,000원~200,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,대여 가능,,,,,,,,,,,,,,,,,
3.1만세운동길,"대구에 위치한 3.1만세운동길은 동산의료원 옆 제일교회와 선교사 주택 사이로 난 90여 개의 계단이다. 이 길은 1919년 3월 8일 대구 학생들이 태극기를 들고 만세운동을 벌이기 위해 일제의 감시를 피해 이동하던 통로였다. 계단 양 옆에는 태극기가 설치되어 있고 3.1운동 당시의 사진과 설명 자료가 전시되어 있다. 계단을 따라 올라가면 청라언덕이 이어지며 선교사 주택들이 위치해 있다. 청라언덕은 담쟁이넝쿨로 뒤덮인 언덕으로, 과거 선교사들의 거주지였던 주택들이 보존되어 있다. 이 중 블레어 주택은 현재 교육 역사 박물관으로 운영되고 있다. 박물관에는 근대 교육과 3.1운동 관련 전시물이 마련되어 있다. 3.1만세운동길은 대구 근대골목투어의 일부로 활용되고 있다. 이 길은 대구 지역 항일운동의 역사적 의미를 알리는 장소로 보존되고 있다. 시민들과 관광객이 역사적 사실을 체험할 수 있도록 구성된 역사교육 공간이다.",,,대구광역시 중구 동산동,상시 개방,연중무휴,가능,,무료,청라언덕 방문하면서 와봤어요 근처에 박물관도 있고 산책길도 잘 되어있어서 추천합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
