place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,체험 프로그램,화장실,시설이용료,review,주차 요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,이용가능시설,이용요금,입장료,수용인원,체험프로그램,관람석,점자 블록,"영유아가족
기타상세",지정현황,주요시설,코스안내,휠체어,시각장애 기타상세,유도안내 설비,유모차,대중 교통,수유실,점자 홍보물,안내 요원,매표소,개장기간,부대시설
열락당,"열락당은 조선후기 대구광역시 출신 의병장 월곡 우배선의 우국충정과 선비 정신을 기리는 재실이다. 대구광역시 달서구 상인동 월촌마을에 있는 월곡역사공원 내에 위치하고 있다. 임진왜란 때 24세의 나이로 의병을 일으켜 전공을 세운 의병장 월곡 우배선(1599~1620)이 관직에서 물러나 고향으로 돌아온 후 강학소를 마련하고 학문을 강론하던 곳으로 당호를 열락당(悅樂堂)이라 하였던 것이다. 이 재사는 그동안 퇴락하여 원래의 모습을 찾아볼 수 없었다. 그러던 중 1995년 종중에서 뜻을 모아 장지산 기슭에 중건하여 추모 공간으로 활용하고 있다. 임진왜란 당시 의병장 월곡 우배선의 의병 투쟁과 우국의 선비 정신을 기리려는 종중의 열망을 고스란히 담고 있다. 건물 규모는 솟을대문에 정면 5칸, 측면 2칸으로 방 3칸, 대청 2칸 골기와 팔작지붕에 기와 돌담으로 주위를 둘렀다. 또 열락당이 위치한 공원에는 산책로, 쉼터, 놀이터, 연못 등이 있으며 계절을 달리해 피는 꽃이 아름다우며 특히 대나무 숲길은 열락당과 더불어 월곡역사공원의 또 다른 볼거리이다.",,,대구광역시 달서구 상인로 134-13,상시 개방,연중무휴,"가능 (월곡역사공원 주차장)
요금(무료)",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
읍내동 마애불상,"병풍처럼 지그재그로 형성된 사암질 바위면의 돌출된 모서리에 부조로 불좌상 1구와 그 양옆으로 반가사유상, 불입상, 보살입상, 공양자입상 등 30여 구의 다양한 존상들과 마애탑 1기가 얕게 선각되어 있다. 이 마애불상군은 삼국시대 양식과 특징을 가지고 있지만, 고부조의 불좌상은 수인의 좌우가 바뀌어 있는 점, 옷 주름과 광배의 어색한 조각 기법 등으로 보아, 선각 불상군은 다양한 도상들의 위치나 크기, 관계성 등 구성 원칙이 명확하지 않고, 새김의 흔적이 지나치게 선명한 불상도 있는 점 등에서 그 조성시기를 특정할 수 없다. 다만 이곳이 못이었는데, 독실한 불교신자가 배를 타고 건너가 이 바위에 부처를 조각했다는 이야기가 마을에 전해지고 있다.

(출처 : 대구북구문화관광)",,https://www.buk.daegu.kr/tour/index.do,대구광역시 북구 칠곡중앙대로129길 169-3 (읍내동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
김광석다시그리기길,"김광석 길은 故 김광석이 살았던 대봉동 방천시장 인근 골목에 김광석의 삶과 음악을 테마로 조성한 벽화거리이다. 2010년 ‘방천시장 문전성시 사업’의 하나로 방천시장 골목길에 11월부터 조성하기 시작한 김광석 길은 중구청과 11팀의 작가들이 참여하였다. 350m 길이의 벽면을 따라 김광석 조형물과 포장마차에서 국수 말아주는 김광석, 바다를 바라보고 있는 김광석 등 골목의 벽마다 김광석의 모습과 그의 노래 가사들이 다양한 모습의 벽화로 그려졌다. 매년 가을에는 방천시장과 동성로 일대에서 '김광석 노래 부르기 경연대회'를 개최하여 故 김광석을 추억하고 있다.

◎ 한류의 매력을 만나는 여행 정보 - 드라마 <하이드 지킬, 나>
이별을 앞둔 로빈과 하나의 데이트 장소였던 김광석길은 방천시장 옆 골목을 따라 거닐며 김광석의 삶과 노래를 테마로 한 다양한 벽화를 구경할 수 있는 거리이다. 골목 구석구석 SNS에서 유명한 카페와 식당이 많아 연인들의 데이트 장소로도 인기다.",,https://tour.daegu.go.kr/index.do,대구광역시 중구 달구벌대로 2238,상시 개방,연중무휴,불가능,,"장애인 화장실 있음 (김광석 다시 그리기 길 벽화 뒤쪽 신천대로변 공원 개방형 화장실-남녀구분, '속닥속닥 수다방' 장애인 화장실은 내부가 좁아 이용하기 불편함)",,"방천시장 근처 골목인데 주말에 가서 그런지 사람들이 꽤 있어서 찾기 어렵지 않았어요. 길고 좁은 골목길에 김광석 벽화와 조형물들이 있었구요. 사진찍기 위한 다양한 포토존도 곳곳에 잘 되어 있었어요. 버스킹하시는 분들도 계셔서 중간중간 구경하기도 좋았구요. 혼자여행으로 택한 김광석거리 벽화에 김광석의 노랫소리가 들리고 구석구석 구경할곳도 맛집도 많아서 혼자서도 알차게 구경하고 재밌었어요 여름 낮에도 길거리에 물 뿌려서 시원하게 구경할수있고 맛집도 많아서 좋아요 예쁜 그림이 있고 사진 찍기 너무 좋았어요 작은 공연장도 았고 예쁜 카페도 있고.. 김광석님을 추억할 수 있는, 여행하던 곳 중 제일 마음에 드는 곳이였습니다 솜사탕 파는 곳이 있어서 꽃다발 모양 솜사탕도 먹었어요 ㅎㅎ 여기 작지만 의외로 볼거리도많고 맛집도 많아요 아이 어릴때 많이 갔었는데 커서데려가도 너무 좋아해요 지루할틈이없는 구경맛집입니다 김광석님의 아름다운 벽화가 많고 이쁜 포토존이 많아서 아이들과 사진 찍기 좋아요. 아이들과 사진도 찍고 김광석님 노래에 대해 알려주니 더 좋아했어요. 근처 맛집이랑 카페도 있어서 알차게 즐길 수 있어 좋았어요. 김광석다시그리기길에 다녀왔어요 평소 김광석가수님의 음악을 좋아했는데 아름다운 벽화가 많이있어서 사진찍기 좋았고 버스킹 공연도 멋있었습니다. 길따라 벽따라 걷다보면 그림 하나하나 재밌고 사진찍기도 좋은 곳. 음악도 좋고 시간가는 줄 모르고 구경했다. 벽화를 따라가다보면 각 벽화마다 김광석님의 그림과 노래들이 다르게 나와 호젓이 그 시절의 추억에 물들게 합니다. 벽화를 보고 있노라면 김광석님의 애환과 미소가 마음을 뭉클하게 하기도 했고 그 시대를 대표하는 곡들이 나와 누구나 타임머신을 타고 김광석님을 만나볼 수 있는 장소인것 같아서 강추합니다~!^ 리뉴얼된 동상배경입니다 김광석길은 벽화도 예쁘고 주말엔 공연할때도 있어서 늘 즐거운길이예요",,,"출입구까지 경사로가 설치되어 있음
방천시장을 통과해 접근하면 경사 없이 평탄함",,장애인 주차장 있음(대봉1동 주민센터)_무장애 편의시설,엘리베이터 있음(주차장),,,무료,,,,,,,,,,,,,,,촉지안내도 있음(관광안내소 앞)_시각장애인 편의시설,,,,
능성세가,"능성세가는 일제강점기에 중건된 전통 가옥으로 대를 이어 살던 능성구씨 집안의 종가 건물이다. 무태(서변동) 지역에 자리 잡은 능성구씨의 입향조는 임진왜란 때 의병으로 활약하다가 서변동에 정착한 계암 구회신(1564~1634)이다. 구회신은 고려가 망하자 두문동에 들어가 절의를 지킨 두문동 72인 중 한 명인 문절공 좌승정 구홍의 8세손이기도 하다. 구회신은 서변동에 정착하고 2년이 지난 1599년에 무과에 응시하여 합격한 후 관직이 어모장군 행훈련원첨정이 되었으나, 조정이 당파 싸움으로 어지러워짐을 보고 관직을 버리고 서변동에 돌아와 은거하였다. 구회신의 후손들이 아주 오래전부터 세대를 이어 가며 살던 집이기에 필요할 때 보수하거나 고쳐 짓곤 하였다. 후대에 유학자를 출세시켜온 본체와 창강서실 외 삼동(三棟)이 있다. 항일 독립유공자인 소봉 구찬회(1890~1910)의 생가이기도 하다. 인근에는 송계당, 물소재 등 능성구씨 문중의 재실이 있다. 무태는 현재까지도 능성구씨 세거지이기도 하여 서변동 일대를 선비마을로 부른다.",,https://www.buk.daegu.kr,대구광역시 북구 서변로3길 47-12 (서변동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성문화원,"1985년 11월에 설립되었으며 향토문화예술 진흥을 목적으로 설립된 공익단체이다. 지역 문화를 기반으로 다양한 향토문화를 발굴 계승하는 것이 달성문화원의 주된 사업의 목표이다. 이에 여러 예술 활동과 문화 사업 각종 체험 프로그램 등을 매개체로 활용하여 문화혜택의 기회를 군민들에게 누릴 수 있도록 노력한다.
문화원의 주요 사업으로는 정월대보름날 달맞이 문화제, 청소년들의 건전한 성장을 도울 수 있도록 달성충효청소년문화학교, 지역차문화발전과 환경조성을 위한 달빛차회, 전통제례의식 보존과 군민의 안녕을 기원하는 사직제 등이 있으며 이 밖에 다양한 지식 습득을 위한 각종 교육사업인 문화학교를 개설하여 운영하고 있다.",,http://dgdscc.kr,대구광역시 달성군 현풍면 현풍동로 92,09:00~18:00,일요일 / 공휴일 / 국경일,있음(무료),,장애인 전용 화장실 있음,,,무료,전용면적 613평,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음(2대)_무장애 편의시설,엘리베이터 있음,,"문화학교 전 강좌 : 유료(1개월 기준 7,000원 / 12개월 단위, 자세한 사항은 홈페이지 참고)",,,"[유료 프로그램 (전화문의 및 홈페이지 참고)]
- 문화학교강좌 (컴퓨터 / 자연치유학 / 한국무용 / 민요 등)",,,,,,,,,,,,,,,,,
영영축성비,"임진왜란 때 허물어진 대구토성을 돌로 다시 쌓은 후 이를 기념하고자 세운 비이다. 비는 직사각형으로, 바닥돌 위에 비몸을 세운 간단한 모습이다. 비문에 의하면 성의 둘레는 2,124보(步)이며, 네 개의 문을 만들고 성을 지키기 위한 군량, 전포 등을 갖춘 창고를 두었다. 석성의 공사기간은 6개월이며, 동원된 인원은 78,534명에 달한다. 성이 완성된 뒤에는 여러 장사들을 모아 활쏘기대회를 열어 상을 주었다 한다. 경상도 관찰사였던 민응수가 나라에 건의하여 영조 13년(1737) 대구 남문 밖에 세워두었으며, 민응수가 비문을 짓고, 백상휘가 글씨를 썼다. 광무 10년(1906)에 성은 헐리게 되었고, 비는 1932년 향교로 옮겨 보존되다가 1980년 지금의 자리로 옮겨 놓았다.

(출처 : 국가유산청)",,https://www.khs.go.kr/main.html,대구광역시 수성구 팔현길 248 (만촌동),상시 개방,연중무휴,"가능
요금 (무료)",,있음,,대구부수성비랑 나란히자리하고 있는데 대구읍성에관련된 비는 두개가 남아있다고 한다,,,,,,,,,무료,,,,,,대구광역시 유형문화유산 영영축성비(1982.03.04 지정),,,,,,,,,,,,,
대구 하중도 (금호꽃섬),"대구 북구 8경 중 1경인 금호꽃섬은 2021년 9월 시민공모전을 통해 하중도에서 금호꽃섬으로 명칭이 변경된 곳이다. 팔달교와 노곡교 사이에 위치한 섬으로 유채꽃, 청보리, 코스모스를 볼 수 있고 사계절 모두 방문하기 좋은 명소이다. 연인들의 데이트 장소, 가족 단위의 관광객이 많이 찾는 대구 대표 관광지이다.",,대구 북구 문화관광 http://www.buk.daegu.kr/tour/index.do,대구광역시 북구 노곡동 665,"00:00~24:00
※ 단, 폭우 등으로 안전 문제가 제기될 시 이용이 통제될 수 있음",,주차 가능,,,,"유채꽃 필 때가면 엄청 좋아요. 산책하기도 너무 좋아요~~ 하중도 근처에 주차하기 쉽고 계절마다 다른거 같아요 가을에 갔을때는 갈때숲이 많았어요 가족들과 식후에가서 한바퀴 돌기 좋아요 꽃박람회 한다고 하여 한번 방문해봤네요.평일이고 날씨도 흐린데 참 많이들 오셨네요 대구 여행 중 금호꽃섬을 다녀왔습니다. 주차도 편리하고 산책하기 좋았어요. 10월11일 개최하는 정원박람회 준비가 한창이었습니다. 산책 중 발견한 댑싸리 단지가 엄청 예쁘게 자리하고 있어요. 예전에는 유채꽃이 많이 피어있었는데 최근에 가보니 청보리가 올라와 있었습니다^^ 푸릇푸릇해서 보기 좋습니다. 나무 그늘 아래 벤치에서 잠시 쉬어가면 좋습니다. 도심 한 가운데, 강에 큰섬이 있다는것도 놀라운데 거기에 아름다운 꽃들이 활짝 피어있다는게 너무 신기했어요. 따뜻한 햇빛과 바람, 꽃에 갈대까지 최고의 가을이었어요 코스모스가 엄청 많아서 장관이었어요옆에는 강도 흐르고 꽃길이 커서 운동도되고 사진찍기도 너무 좋았어요 가까운 도심에 이렇게 이쁜곳이 있다니 너무 좋네요 대구에 살았지만 최근에 알게 되었어요 지금가면 이뿐 코스모스들이 만발하답니다 !! 인생샷 명소에요 도심나들이 장소로 추천합니다 대구살면서 이제야 와봤어요.생각보다 넓고 잘 조성되어있어서 감동감동~^^ 한강둔치 못지않은 힐링공간이네요.산책로도 좋고 주차장도 넓고 대구시민을 위한 공간이라 너무 좋아요.계절별로 색다른 분위기라고 하니 내년 봄이 너무 기대가 되네요~진작와볼껄 하는 후회가 밀려오지만 이제라도 알았으니 힐링하러 자주 와야겠어요.",,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
인산정사,"인산정사는 조선조 철종때 8군의 군수를 지낸 경재[景齋] 우성규 선생의 생전 강학소다. 63세로 관직생활을 정리하고 낙향한 우성규 선생이 고향 월촌으로 귀향하자 수많은 선비들이 선생의 가르침을 받고자 선생 문하에 몰려들었다.
이때 이들을 수용하기 위해 사림이 나서 옛 덕동서원 터에 강학소를 건립했으니 인산정사[仁山精舍]다.
현재 인산정사 경내에는 두 채의 건물이 있다. 정면에 자리한 새 인산정사와 그 앞쪽에 자리한 옛 인산정사다. 본래 새 인산정사 자리에 옛 인산정사가 있었는데, 2001년 옛 인산정사를 앞쪽으로 옮기고 그 자리에 지금의 새 인산정사를 건립했다.
새 인산정사는 정면 5칸, 측면 1.5칸 규모의 겹처마 팔작지붕 건물이다. 전면과 측면 반 칸 퇴에는 난간을 설치했다. 가운데 3칸은 대청, 좌우 각 1칸씩은 방인데, 동쪽 방은 경한재, 서쪽 방은 경직재다. 대청에는 경도재기, 경도재상량문, 인산정사 중건기, 시판 등이 걸려 있다. 인산정사 앞뜰에는 경도재 우성규선생 기적비가 있고, 뒤뜰에는 덕동서원 유지비와 능주구씨부인 행덕비가 있다.",,,대구광역시 달서구 상인로26길 89-6,"토, 일요일은 상시 개방(평일 전화 후 예약 관람 가능)",,,,있음 (별채 스튜디오 내 사용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 코오롱 야외음악당,"코오롱야외음악당은 2000년 9월 29일에 개관한 이래, 단일 공연장으로서는 국내 최대 규모를 자랑하는 야외 공연장이다. 두류공원 내에 위치해 있으며, 뛰어난 지리적 여건 덕분에 시민들의 큰 사랑을 받고 있는 대구의 대표적인 문화 명소이다. 1만여 평의 넓은 잔디 광장에는 약 2만 7천 명까지 수용이 가능해, 음악회는 물론 연극, 뮤지컬, 오페라 등 다양한 장르의 무대 공연이 펼쳐질 수 있는 공간이다. 또한, 이용 자격에 제한을 두지 않는 개방형 공연장으로, 문화예술을 사랑하는 예술인뿐만 아니라 초·중·고등학교 및 대학교 동아리 회원 등 여러 단체와 개인에게도 열려 있는 열린 예술 공간이다. 탁 트인 야외에서 휴식을 겸하며 공연을 즐길 수 있는 특별한 경험을 제공하며, 대구 지역 문화 예술의 발전과 시민의 문화 향유 기회 확대에 크게 기여하고 있다. 이처럼 코오롱야외음악당은 시민 곁으로 한 걸음 더 다가가는 열린 문화공간으로서 중요한 역할을 수행하고 있다.",,https://daeguartscenter.or.kr,대구광역시 달서구 야외음악당로 180 (두류동),※ 행사별 상이하므로 홈페이지 참고,연중무휴,가능,,장애인 화장실 있음,,"대구 코오롱 야외음악당, 넓은 공간에서 공연보기 딱 좋은 곳! 공연이 없을 때에도 넓은 잔디밭에 앉아서 두런두런 이야기 나누기 좋은 곳이라 주말에 가족들과 같이 나들이 가기도 좋네요. 봄, 가을에 가기 딱 좋은 곳이에요! 여러 공연들 자주해요 잔디광장에서는 돗자리 깔고 치킨등 시켜먹는 분들이 많아요 오전에는 강아지 산책하시는 분들도 계세요 며칠 전에는 정동원 가수님 오셨었어요 딤프 개막식 항상 여기서하는데 앞자리 앉아서 멋진 공연 볼 수 있어서 좋아요! 매년 코오롱에서 했으면~",무료,"대지면적 32,330㎡ (9,780평)",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,※ 행사별 상이하므로 홈페이지 참고,,"고정객석 1,080석(최대 수용인원 27,000명)",,,,,,,,,,,,,,,,,,
서구어린이도서관,대구시 서구의 첫 번째 구립 도서관이 이곳 서구 어린이 도서관이다. 대구광역시 서구 이현동에 위치하고 있으며 가까운 곳에 그린웨이 근린공원도 자리하고 있어 어린이들에게 열린 공간으로서는 더없이 좋은 환경을 자랑한다. 2010년 3월 10일에 개관하였으며 2019년 기능보강공사를 거쳐 12월에 서구 어린이 도서관이 재개관하였다. 특히 재개관 시 새로운 공간으로 2층 어린이 열람실 상상놀이터는 기존 디지털자료실을 보강 공사를 통해 상상 놀이터로 변신하여 신나는 체험 공간이 되었고 다양한 콘텐츠를 운영한다.,,https://library.daegu.go.kr/seogulib/index.do,대구광역시 서구 문화로 123 (이현동),"평일 09:00~18:00
주말 09:00~17:00",매주 월요일 / 일요일을 제외한 법정공휴일 / 임시공휴일 / 도서관장이 필요하다고 인정한 경우,"가능
요금(무료)",,장애인 화장실 있음(각 층),,,,,주차장에서 출입구까지 단차가 없어 휠체어 접근 가능함_무장애 편의시설,주출입구는 단차가 없어 휠체어 접근 가능함,,엘리베이터 있음,,,,,가상현실체험관,,"점자블록 있음(계단,엘리베이터)_시각장애인 편의시설","유아열람실,유아화장실 있음",,,,무료대여(1대),,,무료대여(1대),,수유실 및 수면실 있음(유아화장실 옆),점자도서 있음,,,,
행복북구문화재단 어울아트센터,"1999년 북구문화예술회관으로 시작한 어울아트센터는 북구의 발전 역사와 함께 해온 문화의 시작점이다. 리듬의 음율처럼 다채로운 높낮이를 가진 아트센터에는 425명을 수용할 수 있는 공연장과 60평의 전시장이 있다. 지난 2015년 생활문화센터를 개소하면서 작은 공연장과 야외공연장, 작은 전시장도 새롭게 마련되었다. 아트센터를 둘러싼 다양한 꽃과 나무들은 사계절마다 다른 모습으로 맞이하며, 사이사이 전시된 조각 작품과 어우러져 누구에게나 열려있는 조각공원이 된다. 이처럼 여러분의 어울아트센터는 전문적인 공연, 전시를 비롯해 생활문화예술을 경험할 수 있는 작지만 강한 복합문화공간으로 지역의 문화 지평을 넓혀가고 있다.

(출처: 행복북구문화재단 어울아트센터)",,http://www.hbcf.or.kr,대구광역시 북구 구암로 47 (관음동),※ 공연별 상이하므로 홈페이지 참고,연중무휴,가능,,"장애인 화장실 있음(손잡이, 등받침, 유아용 보호의자 있음, 미닫이문)",,,무료,"공연장 2,107㎡ / 전시실 217,3㎡",출입구까지 경사로가 설치되어 있음,주 출입구는 경사로가 있어 휠체어 접근 가능함(자동문),장애인 주차장 있음(4대/어울아트센터 주차)_무장애 편의시설,엘리베이터 있음,,※ 공연별 상이하므로 홈페이지 참고,,,,장애인 전용 관람석 있음(8석),점자블록 있음_시각장애인 편의시설,,,,,,,점자손잡이 있음(경사로 손잡이),,"버스 칠곡 1-1, 칠곡 2",,,안내요원 있음,매표소 있음,,
수성아트피아,"수성구 무학로에 위치한 문화예술 공연장으로, 공연 공간과 전시 공간, 예술 아카데미 공간으로 운영되고 있다. 공연 공간인 대극장은 흡음을 최소화하기 위해 우드 플로어링 바닥을 적용하고, 벽체는 자연 무늬목을 사용하여 곡선형 천장으로 설계함으로써 고품격 분위기를 연출하고 있다. 또한, 전문 공연장으로서 국내 최초로 디지털 전송방식을 구축하여 다양한 공연 환경을 설계하였다. 소극장은 핀란드산 자작나무를 사용해 고른 음향 분포를 가능하게 한 실내 음악 전문홀이다. 전시 공간에서는 다양한 기획전이 운영되고 있으며, 예술 아카데미에서는 예술 이론과 실기, 어린이 예술 도시 프로그램, 예술 특강 등이 이루어지고 있다. 상주 예술단체로는 수성구여성합창단, 소년소녀합창단, 청소년오케스트라가 활동 중이다. 건물 외관은 무학산의 이미지를 살려 학이 날개를 펴고 비상하는 형상으로 디자인되었으며, 야간 경관 조명과 바닥 분수와 어우러져 하나의 예술작품을 이루고 있다.",,수성아트피아 http://www.ssartpia.kr/,대구광역시 수성구 무학로 180 (지산동),※ 전시별 상이하므로 홈페이지 참고,매주 월요일,가능,,"장애인 화장실 있음(작은 공연장, 소극장 좌측)",,,무료,"대지면적 : 18,035㎡ (지하2층, 지상3층)
건축면적 : 3,658.21㎡",출입구까지 턱이 없어 휠체어 접근 가능함(완만한 경사로),주 출입구 턱이 없어 휠체어 접근 가능함(자동문),장애인 주차장 있음(지상 5대 / 지하 4대),엘리베이터 및 휠체어 리프트 있음,,※ 전시별 상이하므로 홈페이지 참고,,"공연장 : 대공연장(용지홀) 1,159석 / 소공연장(무학홀) 301석
전시실 : 대전시실(호반갤러리) 97평 / 소전시실(멀티아트홀) 35평 / 예술아카데미",연극놀이터 / 미술탐탐 / 어린이 건축학교 등,"장애인 전용 관람석 있음(대극장 12석, 소극장 4석)","점자블록 있음(엘리베이터, 공연장)_시각장애인 편의시설",유아용 화장실 있음(기저귀 교환대 설치),,,,대여 가능(1대/대극장 로비),,,,동대구역에서 버스 814번 탑승 또는 대구도시철도 3호선 수성못역 1번 출구에서 도보로 이동,,점자 표지판 있음,안내요원 있음(안내데스크),매표소 있음,,
대구콘서트하우스 (구.대구시민회관),"대구광역시 중구 태평로2가 대구역 인근에 위치한 종합 공연장이다. 1975년 10월 5일에 대구시민회관으로 개관했으며, 이후 노후화로, 대구시민회관을 공유재산 위탁개발 사업방식으로 리노베이션 하여 2013년 11월 29일에 국제적 수준의 전문 콘서트홀로 재개관을 하였다. 2016년 1월 1일에 대구콘서트하우스로 명칭이 변경되었으며 상주예술 단체로는 대구시립예술단인 대구시립합창단, 대구시립교향악단이 있다. 문화가 살아 숨 쉬고 감동이 함께하는 공연문화 예술의 메카로 공연예술의 진흥 및 시민의 문화향유의 기회를 확대시키는 신개념 공연문화 공간 조성, 우수한 문화 예술작품의 기획 공연 등을 통하여 지역과 지역, 나라와 나라 간의 소통과 감동이 전해지는 창조적이고 미래지향적 문화공간, 세계적 수준의 경쟁력을 갖춘 문화 예술 분야의 인재 양성을 통하여 문화 예술도시로서의 위상 제고를 위해 만들었다. 시민에게 열린 광장은 소공연장, 전시시설, 카페, 근린생활시설 등과 연결되어 있어 누구에게나 쉽고 편리한 이용이 가능한 공간이다.",,http://concerthouse.daegu.go.kr/,대구광역시 중구 태평로 141 (태평로2가),09:00~18:00,매주 월요일,가능,,,,너무 좋았어요 공연이 있을 때마다 한번씩 가는 곳이에요. 동성로와 인접해 있어서 찾기도 쉽구요. 리뉴얼된 후에 시설이 더 좋아졌어요.,,,"출입구까지 단차가 없어 휠체어 접근 가능함,외부연결 엘리베이터 이용 가능함","주출입구는 단차가 없어 휠체어 접근 가능함(챔버홀-자동문,그랜드홀-수동문)","장애인 전용 주차구역 있음(그랜드홀 지하1층 7대,챔버홀 2,3층 각 1대,장애인표지판)_무장애 편의시설","엘리베이터,실내경사로 있음",,공연에 따라 상이,,"콘서트홀(대공연장) 1,284석(2층 594석, 3층 212석, 합창석 192석, 발코니석 272석, 장애인석 14석)
챔버홀(소공연장) 248석",,,점자블록 있음(챔버홀 주출입구)_시각장애인 편의시설,,,,,,,,,,,,,,,
팔공문화원,"팔공문화원은 팔공산과 금호강의 역사 문화적 기반을 이어가고 주요한 복원 사업을 제시하면서 잊히고 감춰져 있는 대구 동구 지역의 전통문화를 살리고 계승하여 알리는데 주력하고 있다. 천제단 복원 및 천제봉 행사, 팔공산 산신제 부활, 공산토성 복원, 부인사 대장경각 복원 및 대장경 복간 사업 등이 그것이다.
지역단위의 일반적인 문화 활동과 함께 재능기부와 창작활동 지원, 문화 나눔 활동 등 지역 문화생활 사업들을 활발히 전개하여 새롭고 행복한 생활문화가 형성되고 이를 통해 건강한 지역 문화 만들기에 끊임없이 노력하는 기관이다. 팔공문화원은 즐겁고 유쾌하며 행복감이 넘치는 프로그램들을 운영하여 시민들이 가장 아끼고 사랑하는 문화원이다.",,http://www.palgong.or.kr,대구광역시 동구 팔공로197길 25 (백안동),"09:30~17:30
※ 행사 일정에 따라 상이하므로 홈페이지 참고","주말 / 공휴일
※ 행사 일정에 따라 상이하므로 홈페이지 참고","가능
요금 (무료)",,,,지역민들을 위한 문화수업이 있어 추천합니다,,,,,,,,※ 프로그램별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,
대구문화예술회관,"1990년 개관한 대구문화예술회관은 대구문화의 살아있는 역사이자 대구예술의 허브로서 시민들의 사랑을 받고 있는 복합문화공간이다.대구의 두류공원 내에 위치하고 있으며 2022년 대구문화예술진흥원 출범으로 새로워진 대구문화예술회관은 모든 계층이 즐길 수 있는 다양한 장르의 콘텐츠를 확보해 활력 넘치는 문화예술 공간으로 만들어 가고 있다. 예술가와 창작자들이 마음껏 역량을 펼치는 발판이 되어 함께 상생하고, 협업과 교류를 통해 지역 문화적 가치를 높이고 그 가치를 시민들 삶 속에 고스란히 옮겨 문화예술로 풍요로운 삶이 될 수 있도록 최선을 다하고 있다.
예하에 시립예술단, 코오롱야외음악당을 두고 있어 특별전을 비롯해 주제 전시, 초대 전시,기획 전시등 다양한 예술 활동을 시민에게 제공하며 국악단, 무용단, 극단, 소년소녀 합창단 등 4개 시립예술단체를 보유하고 있어 어떠한 장르의 작품도 자체 생산이 가능하다.",,http://artcenter.daegu.go.kr,대구광역시 달서구 공원순환로 201 (성당동),"하절기(4월1일~10월31일) 10:00~19:00
동절기(11월1일~3월31일) 10:00~18:00",매주 월요일 / 설·추석 당일,"가능 (공연일은 두류공원 공영주차장 이용 권장)
요금(무료)",,,,"미술관 음악 공연 그리고 이슈 강좌등 여러 다양한 문화예술을 즐기고 체험해 볼 수 있어서 정서 함양에 유익한 곳입니다. 또한, 예술회관을 빙 둘러서 한바퀴 오천보 걷기에도 좋은 둘레길도 좋고 입구 건너에 있는 작은연못(?)도 운치 있지요. 두류공원내 있어서 문화행사 참여도 좋고, 산책로가 주위에 둘러싸고 있어 운동하러 가도 좋습니다. 대구문화예술회관에서 하는 여러가지 행사에 참여할 수 있어 좋아요. 행사 시간 전에 두류공원, 성당못에서 소풍나온 기분을 만끽하다가 행사에 여러번 참여했습니다.",무료,"부지면적 : 66,100㎡ (공연관 5,929㎡, 전시관 13,636㎡)",출입구까지 경사로가 설치되어 있음,,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,"공연, 전시마다 다름",,,https://daeguartscenter.or.kr,장애인 전용 관람석 있음,"점자블록 있음(계단 앞,점자유도로)_시각장애인 편의시설",,,,,휠체어 대여가능,,,,,,촉지안내도 있음,,,,
군위문화원,"군위문화원은 지역주민을 위한 군위음악회, 경상북도농악경연대회, 문화학교와 문화유적탐방 등의 문화원 행사를 진행하고 있다.",,군위문화원 http://gunwicc.kr/,대구광역시 군위군 동서2길 35 군위생활문화센타,"09:00~18:00
※ 강좌시간에 따라 변동 가능","매주 토요일, 일요일 / 공휴일",가능,,장애인 화장실 있음,,,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음(1대)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,
크라센,"크라센은 대구 북구8경과 북구의 향기를 테마로 체험상품과 기념품을 제작한다. 북구8경의 빛(풍광, 야경, 석양, 일몰, 별빛, 노색들, 푸른강)을 경험할 수 있는 상품과 향기카드에 스토리텔링을 추가하여 관광지에 대한 해설을 가미한다.",,,대구광역시 북구 성북로5길 10 (침산동) 2층,,,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
